,X,y
12,вместо того чтобы сделать отсюда последний шаг вверх познание неудовлетворительности рассудочных определений отступает к чувственному существованию ошибочно полагая что в нем оно найдет устойчивость и согласие но так как с другой стороны это познание знает себя как познание только явлений то оно тем самым соглашается что чувственное существование неудовлетворительно но вместе с тем предполагает что хотя вещи в себе и не познаются однако внутри сферы явлений познание правильное как будто различны только роды предметов и один род предметов а именно вещи в себе не познается другой же род предметов а именно явления познается это похоже на то как если бы мы приписывали комунибудь правильное уразумение но при этом прибавили бы что он однако способен уразуметь не истинное а только ложное,0
13,так же как это было бы нелепо столь же нелепо истинное познание не познающее предмета как он есть в себе критика форм рассудка привела к указанному выше выводу что эти формы не применимы к вещам в себе это может иметь только тот смысл что эти формы суть в самих себе нечто неистинное,0
14,но так как все еще считают их значимыми для субъективного разума и для опыта то критика ничего не изменила в них самих а оставляет их для субъекта в том же виде в каком они прежде имели значение для объекта но если они недостаточны для познания вещи в себе то рассудок которому как утверждают они принадлежат еще в меньшей степени должен был бы принимать их и довольствоваться ими если они не могут быть определениями вещи в себе то они еще в меньшей степени могут быть определениями рассудка за которым мы должны были бы признать по крайней мере достоинство некоторой вещи в себе,0
15,определения конечного и бесконечного одинаково сталкиваются между собой будем ли мы применять их к времени и пространству к миру или они будут признаны определениями внутри духа точно так же как черное и белое все равно образуют серое смешаем ли мы их на стене или только на палитре если наше представление о мире расплывается когда мы на него переносим определения бесконечного и конечного то сам дух содержащий в себе эти два определения должен в еще большей мере оказаться чемто внутренне противоречивым чемто расплывающимся свойство материи или предмета к которым мы стали бы их применять или в которых они находятся не может составлять здесь какоелибо различие ибо предмет внутренне противоречив только изза указанных определений и согласно им,0
16,указанная критика стало быть отдалила формы объективного мышления только от вещи но оставила их в субъекте в том виде в каком она их нашла а именно она не рассмотрела этих форм взятых сами по себе со свойственным им содержанием а прямо заимствовала их при помощи лемм из субъективной логики таким образом не было речи о выведении их из an них самих или хотя бы о выведении их как субъективнологических форм тем более не было речи о диалектическом их рассмотрении,0
17,более последовательно проведенный трансцендентальный идеализм признал ничтожность сохраненного еще критической философией призрака вещи в себе этой абстрактной оторванной от всякого содержания тени и он поставил себе целью окончательно его уничтожить кроме того эта философия положила начало попытке дать разуму развернуть свои определения из самого себя но субъективная позиция этой попытки не позволила завершить ее,0
18,в дальнейшем отказались от этой позиции а с ней и от указанной начатой попытки и от разработки чистой науки но совершенно не принимая во внимание метафизического значения рассматривают то что обычно понимают под логикой эта наука в том состоянии в каком она еще находится лишена правда того содержания которое признается в обыденном сознании реальностью и некоей истинной сутью,0
19,однако не поэтому она формальная наука лишенная всякой содержательной истины в том материале который в ней не находят и отсутствием которого обычно объясняют ее неудовлетворительность мы впрочем не должны искать сферу истины причина бессодержательности логических форм скорее только в способе их рассмотрения и трактовки,0
20,так как они в качестве застывших определений лишены связи друг с другом и не удерживаются в органическом единстве то они мертвые формы и в них не обитает дух составляющий их живое конкретное единство но тем самым им недостает подлинного содержания inhalt материи которая была бы в самой себе содержанием gehalt содержание которого мы не находим в логических формах есть не что иное как некоторая прочная основа и сращение konkretion этих абстрактных определений и обычно ищут для них такую субстанциальную сущность вне логики,0
21,но сам логический разум и есть то субстанциальное или реальное которое удерживает в себе все абстрактные определения и он есть их подлинное абсолютно конкретное единство нет следовательно надобности далеко искать то что обычно называют материей если логика как утверждают лишена содержания то это вина не предмета логики а только способа его понимания,0
22,это размышление приводит нас к необходимости указать ту точку зрения с которой мы должны рассматривать логику поскольку эта точка зрения отличается от прежней трактовки этой науки и есть единственно истинная точка зрения которой она впредь должна придерживаться раз и навсегда в феноменологии духа я представил сознание в его поступательном движении от первой непосредственной противоположности между ним и предметом до абсолютного знания этот путь проходит через все формы отношения сознания к объекту и имеет своим результатом понятие науки,0
23,это понятие следовательно независимо от того что оно возникает в рамках самой логики не нуждается здесь в оправдании так как оно его получило уже там и оно не может иметь никакого другого оправдания кроме этого его порождения сознанием для которого все его собственные образы разрешаются в это понятие как в истину резонерское обоснование или разъяснение понятия науки может самое большее привести лишь к тому что понятие станет объектом представления и о нем будут получены исторические сведения но дефиниция науки или точнее логики имеет свое доказательство исключительно в указанной необходимости ее происхождения та дефиниция которой какаялибо наука начинает абсолютно с самого начала не может содержать ничего другого кроме определенного корректного выражения того что как известное и общепризнанное представляют себе в качестве предмета и цели этой науки,0
24,что в качестве таковых представляют себе именно это а не другое это есть историческое historische уверение относительно которого можно сослаться лишь на то или иное признанное или собственно говоря можно только в виде просьбы предложить чтобы считали то или иное признанным вовсе не удивительно что один отсюда другой оттуда приводит какойнибудь случай или пример показывающий что под такимто выражением нужно понимать еще нечто большее и иное и что стало быть в его дефиницию следует включить еще одно более частное или более общее определение и с этим должна быть согласована и наука при этом от резонерства зависит до какой границы и в каком объеме те или иные определения должны быть включены или исключены само же резонерство имеет перед собой на выбор самые многообразные и самые различные воззрения застывшее определение которых может в конце концов давать только произвол,0
25,при этом способе начинать науку с ее дефиниции нет и речи о потребности показать необходимость ее предмета и следовательно также ее самой итак в настоящем произведении понятие чистой науки и его дедукция берутся как предпосылка постольку поскольку феноменология духа есть не что иное как дедукция его абсолютное знание есть истина всех способов сознания потому что как показало описанное в феноменологии духа движение сознания лишь в абсолютном знании полностью преодолевается разрыв между предметом и достоверностью самого себя я истина стала равной этой достоверности так же как и эта достоверность стала равной истине,0
26,чистая наука стало быть предполагает освобождение от противоположности сознания и его предмета она содержит в себе мысль поскольку мысль есть также и суть вещи sache сама по себе или содержит суть вещи саму по себе die sache an sich selbst поскольку суть вещи есть также и чистая мысль в качестве науки истина есть чистое развивающееся самосознание и имеет образ самости что выражается в том что в себе и для себя сущее есть осознанное gewusster понятие а понятие как таковое есть в себе и для себе сущее,0
27,это объективное мышление и есть содержание чистой науки она поэтому в такой мере не формальна в такой мере не лишена материи для действительного и истинного познания что скорее лишь ее содержание и есть абсолютно истинное или если еще угодно пользоваться словом материя подлинная материя но такая материя для которой форма не есть нечто внешнее так как эта материя есть скорее чистая мысль и следовательно есть сама абсолютная форма логику стало быть следует понимать как систему чистого разума как царство чистой мысли,0
28,это царство есть истина какова она без покровов в себе и для себя самой можно поэтому выразиться так это содержание есть изображение бога каков он в своей вечной сущности до сотворения природы и конечного духа анаксагор восхваляется как тот кто впервые высказал ту мысль что нус мысль есть принцип мира что необходимо определить сущность мира как мысль,0
29,он этим положил основание интеллектуального воззрения на вселенную чистым видом gestalt которого должна быть логика в ней мы имеем дело не с мышлением о чемто таком что имело бы для себя основание вне мышления не с формами которые будто бы дают только признаки истины но необходимые формы и собственные определения мышления суть само содержание и сама высшая истина для того чтобы представление по крайней мере понимало в чем дело следует отбросить мнение будто истина есть нечто осязаемое,0
30,подобную осязаемость вносят например даже еще в платоновские идеи имеющие бытие в мышлении бога толкуя их так как будто они существующие вещи но существующие в некоем другом мире или области вне которой находится мир действительности обладающий отличной от этих идей субстанциальностью реальной только благодаря этому отличию платоновская идея есть не что иное как всеобщее или говоря более определенно понятие предмета лишь в своем понятии нечто обладает действительностью поскольку же оно отлично от своего понятия оно перестает быть действительным и есть нечто ничтожное осязаемость и чувственное вовнесебябытие принадлежат этой ничтожной стороне но с другой стороны можно сослаться на собственные представления обычной логики в ней ведь принимается что например дефиниции содержат не определения относящиеся лишь к познающему субъекту а определения предмета составляющие его самую существенную неотъемлемую природу,0
31,или другой пример когда умозаключают от данных определений к другим считают что выводы не нечто внешнее и чуждое предмету а скорее принадлежат самому предмету что этому мышлению соответствует бытие вообще при употреблении форм понятия суждения умозаключения дефиниции деления т д исходят и того что они формы не только сознающего себя мышления но и предметного смысла verstandes мышление есть выражение которое содержащееся в нем определение приписывает преимущественно сознанию,0
32,но так как говорят что в предметном мире есть смысл verstand разум что дух и природа имеют всеобщие законы согласно которым протекает их жизнь и совершаются их изменения то признают что определения мысли обладают также и объективными ценностью и существованием критическая философия правда уже превратила метафизику в логику однако подобно позднейшему идеализму она из страха перед объектом придала как мы уже сказали выше логическим определениям преимущественно субъективное значение в то же время они тем самым остаются обремененными объектом которого они избегали и в них оставались как нечто потустороннее вещь в себе бесконечный импульс но освобождение от противоположности сознания и его предмета которое наука должна иметь возможность предположить возвышает определения мысли над этим робким незавершенным взглядом и требует чтобы их рассматривали такими каковы они в себе и для себя без такого рода ограничения и отношения требует чтобы их рассматривали как логическое как чисто разумное,0
33,кант в одном месте считает счастьем для логики а именно для того агрегата определений и положений который обычно носит название логики то что она сравнительно с другими науками достигла столь раннего завершения со времени аристотеля она по его словам не сделала ни одного шага назад но также и ни одного шага вперед последнего она не сделала потому что она судя по всему казалась законченной и завершенной но если со времени аристотеля логика не подверглась никаким изменениям и в самом деле при рассмотрении новых учебников логики мы убеждаемся что изменения сводятся часто больше всего лишь к сокращениям то мы отсюда должны сделать скорее тот вывод что она тем более нуждается в полной переработке ибо двухтысячелетняя непрерывная работа духа должна была ему доставить более высокое сознание о своем мышлении и о своей чистой сущности в самой себе сравнение образов до которых поднялись дух практического и религиозного миров и дух науки во всякого рода реальном и идеальном сознании с образом который носит логика его сознание о своей чистой сущности являет столь огромное различие что даже при самом поверхностном рассмотрении не может не бросаться тотчас же в глаза что это последнее сознание совершенно не соответствует тем взлетам и недостойно их,0
34,и в самом деле потребность в преобразовании логики чувствовалась давно следует сказать что в той форме и с тем содержанием с каким логика излагается в учебниках она сделалась предметом презрения ее еще тащат за собой больше изза смутного чувства что совершенно без логики не обойтись и изза сохранившегося еще привычного традиционного представления о ее важности нежели из убеждения что то обычное содержание и занятие теми пустыми формами ценны и полезны,0
35,расширение которое она получила в продолжение некоторого времени благодаря добавлению психологического педагогического и даже физиологического материала в дальнейшем почти все признали искажением большая часть этих психологических педагогических физиологических наблюдений законов и правил все равно даны ли они в логике или в какойлибо другой науке сама по себе должна представляться очень плоской и тривиальной а уж такие например правила что следует продумывать и подвергать критическому разбору прочитанное в книгах или слышанное что тот кто плохо видит должен помочь своим глазам надевая очки правила дававшиеся в учебниках по так называемой прикладной логике и притом с серьезным видом разделенные на параграфы дабы люди достигли истины такие правила должны казаться излишними всем кроме разве автора учебника или преподавателей не знающих как растянуть слишком краткое и мертвенное содержание логики,0
36,что же касается этого содержания то мы уже указали выше почему оно так плоско его застывшие определения считаются незыблемыми и ставятся лишь во внешнее отношение друг с другом оттого что в суждениях и умозаключениях оперируют главным образом количественной стороной определений и исходят из нее все оказывается покоящимся на внешнем различии на голом сравнении все становится совершенно аналитическим способом рассуждения и лишенным понятия вычислением,0
37,дедукция так называемых правил и законов в особенности законов и правил умозаключения немногим лучше чем перебирание палочек разной длины для сортирования их по величине или чем детская игра состоящая в подборе подгоняемых друг к другу частей различным образом разрезанных картинок поэтому не без основания приравнивали это мышление к счету и в свою очередь счет к этому мышлению в арифметике числа берутся как нечто лишенное понятия как нечто такое что помимо своего равенства или неравенства т е помимо своего совершенно внешнего отношения не имеет никакого значения берутся как нечто такое что ни само по себе ни в своих отношениях не есть мысль,0
38,когда мы механически вычисляем что три четверти помноженные на две трети дают половину то это действие содержит примерно столь же много или столь же мало мыслей как и соображение о том возможен ли в данной фигуре тот или другой вид умозаключения дабы эти мертвые кости логики оживотворялись духом и получили таким образом содержимое и содержание ее методом должен быть тот который единственно только и способен сделать ее чистой наукой в том состоянии в котором она находится нет даже предчувствия научного метода,0
